Timeline,Oxygen Consumption,Ammonia Nitrogen,PH,Dissolved Oxygen
00:00.0,4.2489,0.1088,8.2043,9.6603
30:00.0,4.2485,0.0925,8.1854,9.7674
00:00.0,4.2489,0.1139,8.1675,9.7925
30:00.0,4.2489,0.1177,8.1494,9.7458
00:00.0,3.6698,0.1149,8.1263,9.6387
30:00.0,3.6702,0.1072,8.0974,9.7474
00:00.0,3.6698,0.095,8.0867,9.6667
30:00.0,3.6694,0.1095,8.0821,9.7194
00:00.0,3.6698,0.0954,8.0771,9.7714
30:00.0,3.6694,0.0935,8.0906,9.6375
00:00.0,3.6698,0.107,8.1137,9.771
30:00.0,3.6698,0.0932,8.1365,9.6615
00:00.0,3.669,0.1069,8.156,9.6875
30:00.0,3.6694,0.0979,8.165,9.763
00:00.0,3.669,0.1019,8.1826,9.7638
30:00.0,3.669,0.0991,8.1879,9.7877
00:00.0,3.669,0.094,8.1868,9.6539
30:00.0,3.6694,0.1067,8.1876,9.7865
00:00.0,3.6682,0.0895,8.192,9.7853
30:00.0,3.6694,0.0956,8.1964,9.7861
00:00.0,3.6702,0.0977,8.201,9.707
30:00.0,3.6706,0.1061,8.1969,9.7562
00:00.0,3.671,0.1038,8.2065,9.8097
30:00.0,3.6694,0.1088,8.201,9.7833
00:00.0,3.671,0.0918,8.1969,9.8353
30:00.0,3.6725,0.0995,8.1961,9.8105
00:00.0,3.6714,0.0915,8.1829,9.6499
30:00.0,3.6714,0.1101,8.1829,9.7841
00:00.0,5.8,0.0873,8.1873,9.6771
30:00.0,5.8,0.0889,8.1873,9.7318
00:00.0,5.8,0.0939,8.1925,9.6779
30:00.0,5.8,0.0982,8.1931,9.7294
00:00.0,5.8,0.0912,8.192,9.7322
30:00.0,5.8,0.0919,8.1928,9.624
00:00.0,5.8,0.0936,8.1879,9.6228
30:00.0,5.8,0.1092,8.1835,9.757
00:00.0,5.8,0.0957,8.1692,9.729
30:00.0,5.8,0.0861,8.1604,9.5688
00:00.0,5.8,0.0973,8.1637,9.6483
30:00.0,5.8,0.1035,8.1738,9.5948
00:00.0,5.2374,0.1008,8.1777,9.6495
30:00.0,5.2374,0.0877,8.1925,9.6775
00:00.0,5.2366,0.0963,8.2016,9.6244
30:00.0,5.237,0.1067,8.1917,9.6499
00:00.0,5.2366,0.1099,8.1826,9.6499
30:00.0,5.237,0.1097,8.178,9.6495
00:00.0,5.2366,0.0995,8.1785,9.6503
30:00.0,5.237,0.1006,8.1642,9.5728
00:00.0,5.237,0.1099,8.1546,9.4905
30:00.0,5.2362,0.0899,8.1543,9.5465
00:00.0,5.2366,0.1124,8.1499,9.6807
30:00.0,5.2362,0.1091,8.1359,9.7074
00:00.0,5.2366,0.1085,8.1186,9.6275
30:00.0,5.2358,0.1131,8.0821,9.6315
00:00.0,5.2366,0.0915,8.0658,9.6851
30:00.0,5.2362,0.1123,8.0711,9.7242
00:00.0,5.2366,0.0932,8.0994,9.7909
30:00.0,5.237,0.1031,8.1263,9.8429
00:00.0,5.2378,0.1112,8.1645,9.7989
30:00.0,5.2382,0.0954,8.1881,9.8265
00:00.0,5.2386,0.0961,8.2019,9.9327
30:00.0,5.2386,0.091,8.2206,9.8253
00:00.0,5.2386,0.0939,8.2403,9.8512
30:00.0,5.2386,0.113,8.2447,9.8269
00:00.0,5.2386,0.1114,8.2599,9.9068
30:00.0,5.2378,0.096,8.259,10.0126
00:00.0,5.2386,0.1014,8.264,10.0106
30:00.0,5.2386,0.1072,8.2596,9.9591
00:00.0,5.2386,0.1101,8.2637,9.9591
30:00.0,5.2393,0.1015,8.2728,9.9291
00:00.0,5.2386,0.1077,8.2791,10.0366
30:00.0,5.2386,0.0925,8.2794,9.9851
00:00.0,5.239,0.0934,8.2596,9.9299
30:00.0,5.2382,0.0879,8.2502,9.906
00:00.0,5.2378,0.0873,8.2365,9.9052
30:00.0,5.2378,0.1032,8.2258,9.9056
00:00.0,5.237,0.0874,8.2208,9.9267
30:00.0,5.2378,0.1114,8.2203,9.8249
00:00.0,5.237,0.0917,8.2109,9.8736
30:00.0,5.2366,0.089,8.2016,9.7614
00:00.0,5.237,0.0922,8.2098,9.8648
30:00.0,5.237,0.1111,8.2203,9.8964
00:00.0,5.2358,0.103,8.2109,9.9024
30:00.0,5.2366,0.0878,8.2008,9.8984
00:00.0,5.2362,0.0916,8.1956,9.8393
30:00.0,5.2362,0.1103,8.1961,9.8369
00:00.0,5.2378,0.0871,8.1862,9.8373
30:00.0,5.237,0.0922,8.1813,9.7034
00:00.0,5.237,0.0958,8.1865,9.7542
30:00.0,5.2374,0.0905,8.1766,9.8057
00:00.0,5.2378,0.1033,8.1722,9.8057
30:00.0,5.2382,0.0889,8.1683,9.6499
00:00.0,4.8809,0.1009,8.1694,9.8101
30:00.0,4.8813,0.1077,8.1563,9.7849
00:00.0,4.8809,0.0949,8.1076,9.7398
30:00.0,4.8817,0.0928,8.1142,9.9875
00:00.0,4.8809,0.1042,8.1183,9.9934
30:00.0,4.8817,0.0951,8.1145,10.0478
00:00.0,4.8809,0.1087,8.1051,9.9962
30:00.0,4.8805,0.0963,8.0892,10.1069
00:00.0,4.8805,0.1143,8.0502,10.0062
30:00.0,4.8809,0.1158,7.9988,10.0833
00:00.0,4.8809,0.1028,7.954,10.0582
30:00.0,4.8805,0.1098,7.9295,9.9511
00:00.0,4.8809,0.0996,7.9471,9.9503
30:00.0,4.8813,0.118,7.9861,9.9491
00:00.0,4.8805,0.1183,8.037,9.9199
30:00.0,4.8813,0.1094,8.0757,10.0749
00:00.0,1.9821,0.1017,8.0941,10.021
30:00.0,1.9825,0.1086,8.1024,10.0434
00:00.0,1.9817,0.1048,8.1068,10.013
30:00.0,1.9821,0.1046,8.0972,10.0402
00:00.0,1.9821,0.1102,8.1018,9.9867
30:00.0,1.984,0.1072,8.1018,9.9843
00:00.0,1.9825,0.0944,8.1021,9.8776
30:00.0,1.9825,0.0903,8.1027,9.9307
00:00.0,2.1415,0.0921,8.1068,9.9048
30:00.0,2.1415,0.1114,8.1079,9.8768
00:00.0,2.1411,0.0923,8.1076,9.878
30:00.0,2.1407,0.1098,8.1021,9.8792
00:00.0,2.1403,0.0921,8.1115,9.852
30:00.0,2.1403,0.0892,8.1156,9.8496
00:00.0,2.1411,0.1005,8.1211,9.9028
30:00.0,2.1411,0.095,8.1203,9.8508
00:00.0,1.8474,0.0888,8.1159,9.9283
30:00.0,1.8463,0.11,8.115,9.8221
00:00.0,1.8463,0.1103,8.1153,9.7909
30:00.0,1.847,0.1023,8.1104,9.9275
00:00.0,1.847,0.1068,8.1112,9.7885
30:00.0,1.847,0.1012,8.1109,9.8708
00:00.0,1.8466,0.1065,8.1104,9.7674
30:00.0,1.8466,0.1068,8.1051,9.7845
00:00.0,1.7744,0.0875,8.106,9.8648
30:00.0,1.7752,0.1063,8.1054,9.8081
00:00.0,1.7756,0.0886,8.1062,9.8616
30:00.0,1.7752,0.0931,8.106,9.7558
00:00.0,1.743,0.0917,8.106,9.8341
30:00.0,1.7442,0.0869,8.1051,9.858
00:00.0,1.7438,0.11,8.1013,9.8045
30:00.0,1.7446,0.1046,8.1016,9.8337
00:00.0,1.7834,0.0936,8.0917,9.7554
30:00.0,1.7846,0.1117,8.0919,9.8924
00:00.0,1.7838,0.0981,8.0969,9.761
30:00.0,1.7838,0.1094,8.0928,9.8389
00:00.0,1.7838,0.1018,8.093,9.8728
30:00.0,1.7834,0.1042,8.093,9.8265
00:00.0,1.7834,0.1123,8.0843,9.8281
30:00.0,1.7834,0.1138,8.0837,9.9128
00:00.0,4.5154,0.0921,8.0799,9.9112
30:00.0,4.5154,0.1063,8.062,9.8568
00:00.0,4.5158,0.0978,8.0691,9.9926
30:00.0,4.5166,0.1097,8.065,9.9347
00:00.0,4.517,0.1114,8.0639,9.8804
30:00.0,4.5166,0.1075,8.0639,9.854
00:00.0,4.5174,0.1105,8.0636,9.9076
30:00.0,4.5178,0.094,8.0647,9.8524
00:00.0,5.08,0.0897,8.0603,9.8816
30:00.0,5.0788,0.1099,8.0502,9.8229
00:00.0,5.0788,0.0977,8.0408,9.9375
30:00.0,5.0796,0.113,8.0364,9.8568
00:00.0,5.0788,0.1035,8.0373,9.8856
30:00.0,5.0788,0.0915,8.0419,9.9148
00:00.0,5.0803,0.0909,8.0417,9.9663
30:00.0,5.0784,0.1135,8.0375,9.9915
00:00.0,5.7603,0.1154,8.0378,9.9411
30:00.0,5.7599,0.1148,8.0323,9.9407
00:00.0,5.7599,0.1151,8.0331,9.9423
30:00.0,5.7595,0.1125,8.0323,9.8896
00:00.0,5.7611,0.1141,8.0384,9.89
30:00.0,5.7611,0.0973,8.0331,9.8656
00:00.0,5.7607,0.1021,8.0337,9.8113
30:00.0,5.7619,0.1036,8.0419,9.8612
00:00.0,4.7168,0.1128,8.0612,9.9156
30:00.0,4.716,0.1135,8.0614,9.8804
00:00.0,4.7168,0.0962,8.0653,9.7985
30:00.0,4.7164,0.0906,8.0606,9.8001
00:00.0,4.7168,0.0939,8.0612,9.8437
30:00.0,4.716,0.0928,8.0609,9.9024
00:00.0,4.716,0.1105,8.0603,9.7434
30:00.0,4.716,0.1129,8.0603,9.7626
00:00.0,4.6681,0.0909,8.0612,9.9207
30:00.0,4.6681,0.1072,8.0562,9.8676
00:00.0,4.6685,0.0928,8.0609,9.737
30:00.0,4.667,0.1125,8.0422,9.8668
00:00.0,4.7785,0.0976,8.0422,9.737
30:00.0,4.7785,0.1098,8.0466,9.8397
00:00.0,4.7788,0.1129,8.0373,9.7602
30:00.0,4.7777,0.0928,8.0189,9.7921
00:00.0,4.8099,0.0975,8.0095,9.8197
30:00.0,4.8099,0.0935,8.004,9.8217
00:00.0,4.8099,0.1041,8.0004,9.7953
30:00.0,4.8099,0.1041,7.9067,9.8237
00:00.0,4.8099,0.1041,7.9067,10.019
30:00.0,4.8087,0.1041,7.9067,10.019
00:00.0,4.8091,0.1041,7.9067,10.019
30:00.0,4.8087,0.1159,7.9067,10.019
00:00.0,4.7529,0.1082,8.0186,10.019
30:00.0,4.7525,0.0971,8.0274,9.9911
00:00.0,4.7533,0.0944,8.0359,9.9891
30:00.0,4.7541,0.1155,8.0362,9.9879
00:00.0,4.7537,0.0995,8.0458,9.9895
30:00.0,4.7533,0.0898,8.0642,9.9615
00:00.0,4.7537,0.0963,8.0777,9.9575
30:00.0,4.7537,0.0888,8.0738,9.9831
00:00.0,5.1176,0.0979,8.0639,9.9583
30:00.0,5.118,0.1112,8.0636,9.9587
00:00.0,5.118,0.1105,8.0631,10.0098
30:00.0,5.1176,0.1005,8.054,9.9827
00:00.0,5.1169,0.1057,8.0581,9.9064
30:00.0,5.1169,0.1033,8.054,9.9056
00:00.0,5.1176,0.0898,8.0538,9.9291
30:00.0,5.1176,0.1105,8.054,9.85
00:00.0,5.1023,0.111,8.054,9.8504
30:00.0,5.1027,0.1117,8.0532,9.8516
00:00.0,5.1031,0.092,8.0636,9.9255
30:00.0,5.1031,0.1037,8.0546,9.8197
00:00.0,5.1039,0.1006,8.0499,9.9231
30:00.0,5.1043,0.0977,8.0455,9.8644
00:00.0,5.1043,0.1021,8.0502,9.7598
30:00.0,5.1043,0.1081,8.0554,9.7574
00:00.0,4.9378,0.0961,8.0686,9.6791
30:00.0,4.939,0.0959,8.0887,9.5984
00:00.0,4.9374,0.0876,8.1027,9.7066
30:00.0,4.9386,0.1027,8.1164,9.8916
00:00.0,4.9382,0.0944,8.1216,9.888
30:00.0,4.9378,0.1068,8.1266,9.8636
00:00.0,4.9382,0.1064,8.126,9.8632
30:00.0,4.9374,0.0934,8.117,9.8916
00:00.0,4.8574,0.0878,8.1027,9.7318
30:00.0,4.857,0.0896,8.0936,9.7825
00:00.0,4.857,0.0959,8.0878,9.8616
30:00.0,4.8574,0.1103,8.0972,9.7038
00:00.0,4.7781,0.0952,8.0884,9.731
30:00.0,4.7773,0.092,8.0878,9.7302
00:00.0,4.7773,0.1058,8.1013,9.8081
30:00.0,4.7769,0.1048,8.1106,9.8896
00:00.0,4.7215,0.0919,8.1153,9.8896
30:00.0,4.7215,0.0956,8.1156,9.8373
00:00.0,4.7219,0.1117,8.1159,9.7841
30:00.0,4.7211,0.0883,8.1018,9.759
00:00.0,4.7211,0.0923,8.1112,9.9
30:00.0,4.7215,0.0933,8.1153,9.8512
00:00.0,4.7219,0.0899,8.1164,9.9579
30:00.0,4.7219,0.0907,8.1219,9.9311
00:00.0,4.8962,0.1067,8.1409,9.9591
30:00.0,4.8962,0.0913,8.1411,10.0909
00:00.0,4.8966,0.1026,8.1312,9.9859
30:00.0,4.8958,0.0984,8.1073,10.0653
00:00.0,4.8962,0.1089,8.1211,10.0917
30:00.0,4.8958,0.1088,8.1444,10.0102
00:00.0,4.8962,0.0979,8.178,10.037
30:00.0,4.8962,0.1012,8.1917,10.1968
00:00.0,4.769,0.0887,8.1917,10.1145
30:00.0,4.7694,0.0982,8.1953,10.1412
00:00.0,4.7694,0.1026,8.2005,10.1928
30:00.0,4.7694,0.096,8.1722,10.1388
00:00.0,4.7698,0.1089,8.1483,10.0845
30:00.0,4.7706,0.1059,8.1439,10.0853
00:00.0,4.7706,0.1035,8.1535,10.1384
30:00.0,4.7714,0.1018,8.206,10.1388
00:00.0,4.4868,0.1029,8.2442,10.0594
30:00.0,4.4856,0.096,8.2491,10.1097
00:00.0,4.4864,0.1024,8.2489,10.1113
30:00.0,4.486,0.1066,8.2445,10.1624
00:00.0,4.4856,0.0935,8.2401,10.2419
30:00.0,4.4852,0.094,8.2203,10.0869
00:00.0,4.4856,0.1105,8.1967,10.1892
30:00.0,4.4852,0.1075,8.178,10.1365
00:00.0,4.4451,0.0887,8.1499,10.1129
30:00.0,4.4444,0.099,8.1356,10.0626
00:00.0,4.4451,0.0889,8.1453,10.0638
30:00.0,4.4451,0.1027,8.1681,10.0354
00:00.0,4.4451,0.0978,8.1868,10.0582
30:00.0,4.4448,0.1009,8.1999,9.9783
00:00.0,4.4451,0.0962,8.2096,10.0558
30:00.0,4.4444,0.1068,8.2046,10.0286
00:00.0,4.0565,0.1059,8.1999,10.0562
30:00.0,4.0565,0.1087,8.2046,10.0286
00:00.0,4.0565,0.1087,8.2098,9.9219
30:00.0,4.0565,0.1044,8.2087,9.9223
00:00.0,4.1036,0.1081,8.2046,10.029
30:00.0,4.1044,0.0886,8.2041,9.87
00:00.0,4.104,0.0938,8.1903,9.8656
30:00.0,4.104,0.0937,8.1865,9.9255
00:00.0,4.3419,0.0937,8.1821,9.8213
30:00.0,4.3443,0.0933,8.1782,9.9811
00:00.0,4.3435,0.1109,8.112,9.9559
30:00.0,4.3439,0.1087,8.1747,10.1165
00:00.0,4.3439,0.1027,8.1928,10.0913
30:00.0,4.3443,0.09,8.1931,10.0905
00:00.0,4.3439,0.0913,8.1936,9.9823
30:00.0,4.3443,0.1128,8.2186,10.1185
00:00.0,4.6128,0.1091,8.2338,10.1468
30:00.0,4.6124,0.0896,8.2436,10.1996
00:00.0,4.6132,0.0909,8.2236,10.1988
30:00.0,4.6136,0.1112,8.2043,10.1472
00:00.0,4.6132,0.0923,8.1991,10.2271
30:00.0,4.612,0.0922,8.2076,10.2239
00:00.0,4.612,0.0896,8.2208,10.2223
30:00.0,4.6116,0.0891,8.2258,10.2491
00:00.0,5.1585,0.1129,8.217,10.2195
30:00.0,5.1589,0.0943,8.1835,10.2487
00:00.0,5.1581,0.0914,8.1414,10.0657
30:00.0,5.1589,0.1119,8.1172,10.0925
00:00.0,5.1589,0.0919,8.1076,10.0134
30:00.0,5.1593,0.0984,8.0906,10.1213
00:00.0,5.1593,0.1129,8.093,9.9875
30:00.0,5.1589,0.1109,8.1359,10.0638
00:00.0,5.0564,0.0963,8.1738,10.1161
30:00.0,5.056,0.1018,8.1967,10.1157
00:00.0,5.0564,0.0956,8.2167,10.1664
30:00.0,5.0564,0.1085,8.2211,9.9287
00:00.0,5.0564,0.0995,8.2258,9.9311
30:00.0,5.0564,0.1044,8.2351,9.8257
00:00.0,5.0576,0.0873,8.2447,9.8488
30:00.0,5.056,0.0879,8.2447,10.0338
00:00.0,5.0403,0.1074,8.2494,10.0338
30:00.0,5.0399,0.1094,8.2489,9.8748
00:00.0,5.0399,0.0893,8.2447,10.0078
30:00.0,5.0403,0.0888,8.2395,9.9819
00:00.0,5.0407,0.1047,8.2354,9.9539
30:00.0,5.0403,0.093,8.2354,9.9323
00:00.0,5.0403,0.0925,8.259,9.7741
30:00.0,5.0407,0.1104,8.2728,9.8253
00:00.0,4.4381,0.1025,8.2824,10.0074
30:00.0,4.4377,0.1087,8.1923,9.9563
00:00.0,4.4381,0.0953,8.1917,8.9329
30:00.0,4.4377,0.1102,8.2112,8.8223
00:00.0,4.5731,0.1093,8.3209,9.0619
30:00.0,4.5727,0.0908,8.2967,10.1341
00:00.0,4.5735,0.1099,8.2774,9.9519
30:00.0,4.5731,0.1034,8.2926,9.9263
00:00.0,4.4463,0.104,8.2931,9.9567
30:00.0,4.4463,0.1034,8.2835,10.0386
00:00.0,4.4459,0.0888,8.2744,9.9331
30:00.0,4.4463,0.1078,8.317,10.0893
00:00.0,4.4451,0.0923,8.3354,10.0881
30:00.0,4.4451,0.1033,8.3352,10.0845
00:00.0,4.4455,0.1105,8.3308,10.1113
30:00.0,4.4451,0.094,8.3343,10.1444
00:00.0,4.6187,0.0991,8.3253,10.206
30:00.0,4.6187,0.1101,8.3217,10.3398
00:00.0,4.6187,0.1067,8.32,10.287
30:00.0,4.6195,0.0983,8.3057,10.3142
00:00.0,4.6198,0.1065,8.3038,10.3422
30:00.0,4.6198,0.0973,8.3085,10.4169
00:00.0,4.6198,0.11,8.3129,10.442
30:00.0,4.6206,0.0981,8.3217,10.4396
00:00.0,4.5566,0.1116,8.3258,10.4388
30:00.0,4.5563,0.1058,8.331,10.4384
00:00.0,4.5559,0.0901,8.3266,10.3342
30:00.0,4.5566,0.1126,8.3126,10.3334
00:00.0,4.5563,0.0974,8.3121,10.3078
30:00.0,4.5563,0.0975,8.3222,10.4408
00:00.0,4.5563,0.1008,8.3313,10.3342
30:00.0,4.5566,0.1072,8.3404,10.4404
00:00.0,5.1121,0.1046,8.3541,10.4412
30:00.0,5.1125,0.099,8.3637,10.335
00:00.0,5.1129,0.1044,8.3731,10.4392
30:00.0,5.1121,0.0929,8.3824,10.3026
00:00.0,5.1125,0.1088,8.3874,10.2735
30:00.0,5.1121,0.1062,8.4017,10.3801
00:00.0,5.1118,0.0882,8.4063,10.3813
30:00.0,5.1125,0.0938,8.4069,10.2715
00:00.0,4.8193,0.0913,8.4113,10.2731
30:00.0,4.8193,0.1079,8.4212,10.2715
00:00.0,4.8193,0.1035,8.4214,10.4077
30:00.0,4.8193,0.0901,8.4159,10.2703
00:00.0,4.8193,0.1079,8.411,10.353
30:00.0,4.8197,0.0985,8.3874,10.3006
00:00.0,4.8197,0.1042,8.3637,10.2723
30:00.0,4.8193,0.0878,8.336,10.1129
00:00.0,4.4789,0.0924,8.3019,10.0046
30:00.0,4.4789,0.086,8.2873,10.0578
00:00.0,4.4789,0.0962,8.2978,10.0298
30:00.0,4.4789,0.1079,8.3016,9.9783
00:00.0,4.4793,0.1064,8.2915,10.0286
30:00.0,4.4789,0.109,8.292,9.9215
00:00.0,4.4793,0.098,8.3165,9.8944
30:00.0,4.4789,0.086,8.3016,10.055
00:00.0,4.5971,0.092,8.2827,10.0294
30:00.0,4.5971,0.0931,8.2739,10.0302
00:00.0,4.5975,0.0873,8.2692,9.9787
30:00.0,4.5971,0.1066,8.2747,10.031
00:00.0,4.5975,0.1057,8.2695,9.9279
30:00.0,4.5971,0.1126,8.2788,10.0326
00:00.0,4.5967,0.0997,8.2796,10.0634
30:00.0,4.5967,0.0933,8.2868,10.1193
00:00.0,4.7156,0.0977,8.2733,10.1756
30:00.0,4.7145,0.1134,8.2637,10.1221
00:00.0,4.7149,0.0947,8.2626,10.0689
30:00.0,4.7145,0.0913,8.2763,10.1468
00:00.0,4.7149,0.1138,8.2854,10.1249
30:00.0,4.7152,0.1057,8.2695,10.2303
00:00.0,4.7137,0.1134,8.2648,10.1736
30:00.0,4.7145,0.0913,8.2588,10.1996
00:00.0,4.5001,0.0899,8.2585,10.1424
30:00.0,4.5001,0.0902,8.2824,10.0885
00:00.0,4.5009,0.0965,8.3055,10.1672
30:00.0,4.5005,0.1091,8.3349,10.1952
00:00.0,4.5005,0.107,8.3536,10.2211
30:00.0,4.5001,0.0898,8.3613,10.3573
00:00.0,4.5009,0.1104,8.3659,10.2986
30:00.0,4.5009,0.0886,8.361,10.2982
00:00.0,4.7145,0.0863,8.3659,10.2719
30:00.0,4.7152,0.0989,8.3607,10.2423
00:00.0,4.7152,0.1046,8.3472,10.349
30:00.0,4.716,0.0994,8.3291,10.2171
00:00.0,4.7164,0.0877,8.3206,10.138
30:00.0,4.7164,0.1026,8.3209,10.1377
00:00.0,4.7164,0.1105,8.3297,10.2439
30:00.0,4.7164,0.1054,8.339,10.2419
00:00.0,4.5264,0.1024,8.3439,10.2978
30:00.0,4.526,0.1011,8.3343,10.1357
00:00.0,4.5268,0.0874,8.3165,10.1357
30:00.0,4.5264,0.0917,8.2972,10.2423
00:00.0,4.5272,0.0875,8.2774,10.0578
30:00.0,4.5276,0.0871,8.2634,10.1365
00:00.0,4.5276,0.0889,8.2491,10.1109
30:00.0,4.5276,0.1014,8.2442,10.0853
00:00.0,4.8205,0.0875,8.2445,10.0562
30:00.0,4.8185,0.1083,8.2395,9.8988
00:00.0,4.8193,0.0916,8.2346,10.0306
30:00.0,4.8181,0.0923,8.2299,10.0038
00:00.0,4.9053,0.0958,8.2255,9.8712
30:00.0,4.9045,0.0995,8.2206,9.9783
00:00.0,4.906,0.0883,8.2401,10.0046
30:00.0,4.9053,0.0977,8.2585,10.009
00:00.0,4.7463,0.0978,8.2445,10.0638
30:00.0,4.747,0.0884,8.2294,10.0086
00:00.0,4.747,0.1096,8.2719,9.9811
30:00.0,4.7467,0.0889,8.3008,10.0865
00:00.0,4.7467,0.1098,8.2961,10.1125
30:00.0,4.7455,0.0897,8.286,10.2451
00:00.0,4.7463,0.1086,8.2618,10.14
30:00.0,4.7459,0.1096,8.2621,10.1628
00:00.0,4.9838,0.1048,8.2813,10.1628
30:00.0,4.9838,0.0871,8.2915,10.2415
00:00.0,4.9834,0.1102,8.3008,10.2431
30:00.0,4.9842,0.106,8.3154,10.2451
00:00.0,4.9838,0.1107,8.3286,10.2419
30:00.0,4.9834,0.0928,8.3332,10.351
00:00.0,4.9846,0.0908,8.3385,10.4053
30:00.0,4.983,0.0958,8.3376,10.2986
00:00.0,5.1102,0.1079,8.3335,10.4045
